id_EXIST,lang,tweet,label
200002,en,write a uni essay in my local pub with a coffee random old man keep ask me drunk question when i m try to concentrate amp end with good luck but you ll just end up get married and not use it anyway be alive and well,3
200006,en,accord to a customer i have plenty of time to go spent the stirling coin he want to pay me with in derry just like any other woman i m sure of it in retail,3
200008,en,new to the shelf this week look forward to read these book,0
200010,en,i guess that s fairly normal for a neanderthal,0
200011,en,mean woman usually end up in low paid support work when that start to change traditionalist notice unfairness that previously hasn t bother them at all,2
200016,en,the woman will all be at home cooking for the family,1
200019,en,sorry my feminist rage at the old white man praise the two female woman of colour and elite fucking athlete on their smile do roger federer get told nice arse when he win,3
200020,en,why do we create comic about sexism in science it s not just because we have a lot of spare time or like to doodle check out our blog post for,2
200022,en,in other word the game journo industry who basically know the entire time be complicit that can t be right it s get ta be something to do with the misogynistic gamergate boogeyman,2
200023,en,he s really shit on game journalist from what i remember start at the tail end of gamergate he s clown on developer that use unity in the past it s honestly be awhile since i ve close follow it hard to pick out specific example,0
200024,en,low key she be fr create because the incredible hulk tv show gon na do it first and marvel want them right but these gamergate dude need to stop,0
200025,en,one of the most important and of course undervalue piece ever publish on combat white supremacy and fascism,0
200026,en,it s especially weird because the alt right on youtube be old than breadtube which be a reaction to rw gamergate content,0
200027,en,well they re kind of shoot themselves in the foot by inject political drivel into entertainment by push stress into escapism you impassion people by strip them of their release thus spawn movement like gamergate comicsgate etc people push back c,0
200028,en,i don t even know who tf they be only know they be part of the whole gamergate shitstorm back in 2015,0
200029,en,a a person who live through gamergate these new generation incels bitch about aloy s peachfuzz be not what i or my hairy russian futanari with shit dick nipple hentai addict brother be fight for give aloy a beard and a huge cock,1
200030,en,anita a an asset damn i should ve consider that her v gamergate be one big spectacle,1
200031,en,i want to get off 2014i want to get off gamergate s wild ride,0
200033,en,the dummy who try bring back gamergate be spend his time off from wait table pretend to know stuff,0
200034,en,they still try to grift that gamergate money aren t they this be what i call terminally online,0
200037,en,it will just talk about game without bring twitter drama and gamergate bullshit into it any more but i use to love jan garbarek a a kid,0
200038,en,the russian bot be monitor the situation involve gamergate,0
200039,en,it be amaze and i know that anyone who might have be hesitant immediately fell in love with you when we start discuss gamergate,0
200040,en,you have rage issue that manifest in an internet addiction it at least started outwardly during gamergate and when that die you need a new fix you already have your view on trans people but we become the new vessel for your anger you need help,0
200044,en,bro you just harass him,0
200045,en,no two completely different situation teacher have break up the fight it be over simpkins go to his bag pull out his handgun and fire simpkins claim he be be harass but the police have state this be gang relate so good try but no dice,0
200046,en,wheel of time get a trailer release for amazon that look horrible go in to try and soften the blow get downvoted and harass by them for say it look like a cw show lol,0
200048,en,a serious hardcore groupie who ja invite to the ecuador embassy stalk harass and bully journalist and member of the public who be critical of ja go rogue after trump election and leak a huge trove of chat log to micah lee at the intercept,0
200053,en,anyway a i say up this thread be for the handful of ppl that follow me that will care for everyone else you can do say whatever about me i really don t care anymore too many good ppl have be harass or felt the need to leave bcuz of this fandom i win t let them get to me,0
200054,en,this poor waiter be harass by six 30 something woman i feel bad for him,0
200056,en,who harass the news team the cop or the protester,0
200057,en,i understand you re try to be nice and stuff i hope you give that block button more love because it s a tool that help make you more comfortable on social medium and enjoy not be harass or see content you don t like,0
200059,en,journalist continue to be attack and harass by the taliban their late victim be qais,0
200060,en,my situation be completely different but i fear seek help because my ex husband stalk harass be still abusive etc and i be scar he would use it a a weapon against me which he do he file a rfo w defamatory allegationsjudge tell him fk off again,3
200064,en,mgtow ka india wing bhi hai kya if yes then they would need more traction baaki pro male andolan ki reach bahut kam hai imo,0
200067,en,950 iqs mom and dad also have no way out these mgtow jp follower do not know what make relationship stable it be not always no way out big reason for stable marriage in previous generation be that they get marry early,0
200068,en,i have to look up mra and mgtow what,0
200070,en,i m have a hard time deal with the pervasiveness of misandry in society see shit like that all the time make check out more and more appealing everyday the way not the suicide way,0
200071,en,international men s day,1
200072,en,some be a key word in mine lol it wasn t a minority and i also didn t generalise them a incels i say that incel and mgtow culture be get close to the black community because they may not be incels but it s a road and their line of thinking could take them there,0
200073,en,be alpha male a movement something like mgtow,0
200074,en,sou base cria redpill mgtow blackpilado frio patrick bateman kanye west drive 2011 blade runner ma tudo isso ironicamente,0
200076,en,i have another article this month this one will be controversial because it deal with mgtow be it hate speech do they hate woman be they dangerous check the answer in this post,3
200079,en,thank you for promote mgtow,0
200082,en,what be your story notallmen a we share ours and you re in them if you don t recognise yourselves then mace and legislation or your tweet tell other men to listen honestly don t matter it start with you what have you and your mate do that you now know be not okay,0
200085,en,it s patriarchal world woman can have no job yet can live on her own not men,1
200086,en,remember the time lewis accuse of not do enough about racism and he come up with a kind of response,0
200088,en,have a penis not all woman have a vaginanot all folk ascribe to the binary,0
200092,en,obviously but sorry the fisher exact test leave no doubt,0
200094,en,notice how civilian men who don t hold any political power in their country keep tweeting we be do this that this isn t cod war isn t a friday night twitch channel you re tweet from home,0
200095,en,be i the only one who read a no tall men not make any deep point here just confuse not an infrequent occurrence,0
200096,en,let s look at your retweets nintendo switchsportsnotallmenwow you re really hit hard on the social commentary how could i keep up stop fronting and just be honest with yourself still figure thing out be the only truthful thing you ve ever say,0
200097,en,need to step up their game because can be trust to keep their own behaviour in check if a schmuck like me can be a decent ish human be for 51 year despite many many instance of not be sober and or in a legal frame of mind you can do it too,0
200098,en,the tag be currently trend in nl i know it s not all men but it be heckin hard to trust men when you ve have men you know as well a random stranger force themselves onto you or touch you without consent just put it out there watch the video below,2
200102,en,an excellent thread on how the patriarchy deform men s soul and damage their life,0
200103,en,okay but what if it be two woman say fuck the patriarchy that would actually be so sexy of them,1
200104,en,you be toss me the car key fuck the patriarchy pee stain on the ground,0
200109,en,blackness be not a shield for men to protect themselves from criticism especially men ignorant of all the patriarchy in non white country female baby be abort in china woman be isolate in menstruation hut breast iron fgm poc know what sex be,3
200115,en,idk it s just different maybe due to ingrained patriarchy or something i use to tell my bm i d love to watch her fuck a girl but another nigga hell nah,1
200116,en,you re not god or my father or my bos ah yes the three gender of the socius a summary of universal history the primitive code of the earth the despotic overcode whose royal incest establish the patriarchy and the civilized capitalist machine,0
200119,en,the whiskey and cigars the 99 dollar seminar the mustache wax the secret societies the we need a patriarchy discourse into the trash it go if you re feel a crisis of manhood then just be handsome and stop talk or at least stop talk like that,0
200120,en,i would be glad to see the violence on twitterng over the next couple of week both patriarchy and misandry fcs be in top form and they be prepared to go nose to nose let s have it,0
200121,en,actionaid conduct a survey on street harassment they find that 79 of woman live in city in india 86 in thailand and 89 in brazil have be subject to harassment or violence in public a have 75 of woman in london uk,3
200122,en,over 400 people use our helpline this year you can donate 10 or more to fund it in 2022 amp help more people,0
200123,en,81 of woman and 43 of men report experience some form of sexual harassment and or assault in their lifetime so it happen and i could be bother look,0
200124,en,explore photo and excerpt from the conversation to learn how activist view advocacy allyship and accountability within the movement and check out on instagram,0
200126,en,thousand of girl and young woman have share their story story of group harassment of violence show they re,3
200127,en,chalk back the girl and youth lead street art movement to by natasha harris harb and sophie sandberg read here,0
200128,en,catcall of college park launch to spread awareness and spur dialogue about a culture of catcall this harassment can have an impact on victim and restricts woman s engagement in civic life every woman have a street story what s yours,3
200130,en,we re speak out against april 3 9 join u by use chalk pro respect message flyering amp speaking to friend about why this issue must end 1 2,0
200131,en,be it s not a compliment it s never okay,3
200132,en,so important for u to take a stand,0
